playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player,season_age,start_league,league,probability,gp,ppg,gpg,apg,perc_team_a,perc_team_g,perc_team_tp,start_node,node,epoints,nhl_xvalue,xvalue,cond_probability
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,Czech,Czech,0.651006724273933,52.0,0.7968876957893372,0.39844384789466847,0.3984438478946687,0.07750129736893391,0.12147409445809398,0.09317644335275611,2,5,41.43816018104553,10.0,68.30384544754315,0.549444
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,Czech,AHL,0.2762863439776349,76.0,0.7997745871543884,0.3998872935771941,0.3998872935771943,0.07729047751655795,0.12551623923133093,0.09463968132160742,2,6,60.78286862373352,10.9,42.477013646060946,0.232944
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,Czech,NHL,0.07270693174843207,82.0,0.5240991711616516,0.26204958558082575,0.26204958558082586,0.05643309838672402,0.08865347142428862,0.0682815515239663,2,7,42.97613203525543,11.0,7.943536340868471,0.06161199999999999
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,AHL,AHL,0.8331466961548347,76.0,0.6559562087059021,0.327978104352951,0.3279781043529511,0.06484736944909991,0.10438748886986829,0.07917092690362852,3,8,49.85267186164856,5.6,18.93643770130348,0.12661599999999998
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,AHL,NHL,0.16685330384516528,82.0,0.5124797821044922,0.25623989105224604,0.25623989105224615,0.05542779353434133,0.08694643527640597,0.06703179834394049,3,9,42.02334213256836,4.5,3.200161550079346,0.025384
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,NHL,NHL,0.8407908500360202,82.0,0.3861529529094696,0.19307647645473475,0.19307647645473486,0.044498047249821725,0.06838741613843946,0.05344439235104293,4,10,31.664542138576508,0.4,0.23966891944688562,0.002523
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,22.0,NHL,AHL,0.1592091499639798,76.0,0.6097675561904907,0.3048837780952453,0.3048837780952454,0.0608511458722544,0.09760178791107163,0.0742029879630975,4,11,46.342334270477295,0.0,0.06631588034105301,0.000477
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,23.0,Czech,Czech,0.6248636937826685,52.0,0.7776328325271606,0.3888164162635802,0.38881641626358043,0.07615558940674053,0.11910098026249269,0.0914957485000592,5,12,40.43690729141235,0.0,55.544540224556926,0.3434025
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,23.0,Czech,AHL,0.2857142764286269,76.0,0.9128814339637756,0.4564407169818877,0.45644071698188793,0.08739665129703031,0.1425887449883985,0.10719548954681249,5,13,69.37898898124695,0.0,43.609130389753204,0.15714098399999998
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,23.0,Czech,NHL,0.08942202978870463,82.0,0.6231687664985657,0.3115843832492828,0.3115843832492829,0.06532477483433546,0.10366372626932,0.07932754717811058,5,14,51.099838852882385,0.0,9.995233949691187,0.048900516
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,23.0,AHL,AHL,0.7620087415806813,76.0,0.7719938158988953,0.3859969079494475,0.38599690794944774,0.0752071114352943,0.1218905606309647,0.09204196057582456,6,15,58.67153000831604,0.0,41.65756734131186,0.17750332800000002
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,23.0,AHL,NHL,0.23799125841931867,82.0,0.6006975769996643,0.3003487884998321,0.3003487884998322,0.0633805765868263,0.10036242251127858,0.07691060077954667,6,16,49.25720131397247,0.0,10.923409366743666,0.055440671999999996
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,23.0,NHL,NHL,1.0,82.0,0.5452017784118652,0.27260088920593256,0.2726008892059327,0.05857910248756707,0.09220938333004758,0.07094160788138401,7,17,44.70654582977295,0.0,11.017838806655883,0.06161199999999999
